ID	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	LS	MD	NN	NNS	NNP	NNPS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBN	VBP	VBZ	WDT	WP	WP$	WRB	label
gossipcop-1000240645	2	1	15	0	0	10	13	0	0	0	1	21	4	6	0	1	2	5	2	4	1	0	0	0	8	0	8	2	1	5	2	11	1	1	0	0	fake
gossipcop-1009248558	28	30	65	2	0	94	73	3	1	0	5	120	53	79	0	1	9	28	17	38	3	2	5	0	17	1	18	24	17	14	10	37	5	3	0	4	fake
gossipcop-1012123555	11	8	20	0	0	38	9	0	0	0	1	51	4	33	0	0	3	16	11	13	0	0	2	0	5	0	12	17	8	17	4	5	1	1	0	2	fake
gossipcop-1014616559	160	500	566	4	0	794	345	6	14	1	28	951	230	936	40	2	84	149	74	147	8	9	22	0	109	1	105	350	138	157	39	74	32	19	1	20	fake
gossipcop-1014636162	4	0	11	0	0	16	6	0	0	0	1	31	8	10	0	0	1	9	7	1	0	0	2	0	1	1	5	6	7	5	5	6	0	1	0	0	fake
gossipcop-1020220396	2	2	12	1	0	11	5	0	0	0	1	22	2	11	0	0	3	6	3	4	0	0	1	0	2	0	5	8	2	2	1	2	1	2	0	1	fake
gossipcop-1023576750	52	28	113	3	0	148	72	3	1	0	6	176	48	161	4	1	11	33	19	94	0	0	9	12	37	1	35	69	19	45	9	45	11	8	0	5	fake
gossipcop-1023869303	10	3	33	0	0	32	16	0	1	0	2	52	19	46	1	0	7	8	8	12	0	1	2	0	12	3	11	8	9	6	1	29	0	6	0	6	fake
gossipcop-1026488145	8	6	18	0	1	23	12	1	0	0	2	28	8	30	0	1	6	15	2	3	1	0	1	0	4	0	6	7	5	5	5	7	0	1	0	0	fake
gossipcop-1031800447	13	9	28	0	0	38	16	2	0	0	3	56	17	42	0	0	3	17	8	17	5	0	4	0	9	0	11	15	11	11	7	12	0	1	0	3	fake
gossipcop-1032468824	2	3	14	0	0	15	8	0	0	0	0	17	1	21	0	0	4	5	2	11	0	0	0	0	4	0	1	7	3	6	2	7	2	1	0	0	fake
gossipcop-1032664975	13	8	32	1	2	48	23	2	2	0	4	67	14	51	0	0	6	45	10	42	0	0	4	0	14	4	13	20	14	9	12	19	1	3	0	3	fake
gossipcop-1036952493	175	420	522	11	11	779	305	5	3	0	62	764	302	845	49	5	43	134	50	144	7	1	10	0	178	0	213	289	137	164	52	77	33	9	0	12	fake
gossipcop-1037841505	8	0	17	0	0	12	10	0	0	0	6	20	9	8	0	0	0	7	2	14	0	0	1	0	2	0	9	3	5	3	4	5	0	0	0	0	fake
gossipcop-1039751251	3	1	10	0	0	6	4	1	0	0	1	14	4	3	0	1	2	2	1	0	0	0	0	0	0	0	1	4	0	3	1	0	1	0	0	0	fake
gossipcop-1043854322	19	17	50	2	0	55	26	2	0	0	4	86	16	70	1	2	1	43	26	37	1	0	6	0	11	1	19	31	26	11	16	21	4	1	0	5	fake
gossipcop-1044110130	15	8	35	0	3	55	24	1	0	0	9	58	17	38	0	0	1	33	13	31	1	1	2	0	11	0	18	21	16	14	10	19	2	0	0	2	fake
gossipcop-10448753	15	10	26	0	1	48	29	2	0	0	2	48	20	42	0	1	6	24	10	17	0	0	2	0	11	0	15	18	19	7	6	18	3	4	0	1	fake
gossipcop-1046566535	28	11	34	2	2	69	36	0	0	0	9	77	26	38	1	0	4	50	34	41	1	0	6	0	21	1	26	41	21	19	17	14	1	1	0	5	fake
gossipcop-1049883569	28	17	88	0	0	125	74	0	2	0	11	156	47	107	0	0	9	50	24	51	2	1	6	1	18	0	33	48	22	25	15	22	6	1	0	3	fake
gossipcop-1051213706	10	2	14	0	0	11	11	0	0	0	1	14	4	17	0	1	0	9	2	19	0	0	3	0	3	0	3	6	5	3	10	2	1	0	0	0	fake
gossipcop-1051672830	14	10	26	0	1	39	23	1	3	0	5	57	19	43	0	0	4	15	16	15	1	0	2	3	10	0	12	8	7	11	6	16	0	1	0	1	fake
gossipcop-1052490641	0	0	14	0	57	19	22	0	0	0	7	56	3	17	0	0	0	7	14	8	0	0	0	3	7	0	14	0	0	7	1	17	0	0	0	0	fake
gossipcop-1053862865	10	2	51	0	0	57	33	0	0	0	10	57	15	38	5	0	4	27	4	31	2	0	2	0	16	0	28	13	27	14	4	30	5	0	0	3	fake
gossipcop-1063768757	6	6	27	0	0	36	18	1	0	0	6	42	6	16	0	0	1	14	6	16	1	0	1	0	2	0	9	5	4	5	2	9	3	0	0	0	fake
gossipcop-1064096338	9	4	55	2	0	79	33	0	2	0	5	79	21	124	5	0	4	25	12	33	0	0	2	0	14	0	18	40	6	16	6	11	2	3	1	4	fake
gossipcop-106514171	14	12	21	0	0	19	14	2	0	0	1	33	25	23	1	0	6	9	2	11	0	0	1	0	8	0	9	5	4	4	10	3	0	1	0	1	fake
gossipcop-1065734621	5	0	10	0	0	7	3	0	0	0	2	15	9	2	0	0	1	2	1	4	0	0	0	0	1	1	5	0	2	1	1	3	0	0	0	0	fake
gossipcop-1066426271	8	5	17	0	0	18	10	0	0	0	2	32	6	37	2	0	0	5	3	5	0	0	1	0	6	0	7	5	8	3	3	6	0	1	0	0	fake
gossipcop-1066850840	18	11	36	2	0	45	15	4	2	0	3	61	26	34	0	1	5	31	12	27	2	0	1	0	8	0	10	24	13	9	14	18	1	2	0	2	fake
gossipcop-1075873295	11	39	37	0	0	50	24	1	2	0	2	71	15	48	1	0	6	23	8	16	1	0	2	0	12	0	9	26	12	8	1	9	2	1	0	3	fake
gossipcop-108177076	2	0	11	0	0	11	8	0	0	0	2	13	4	14	0	0	3	5	2	8	1	0	0	0	2	1	2	1	1	7	2	9	0	0	0	1	fake
gossipcop-1084487702	17	8	27	0	0	55	31	1	0	0	5	56	15	68	0	0	10	26	13	18	0	0	2	0	12	0	16	30	5	11	5	17	1	4	0	0	fake
gossipcop-1086231022	56	133	139	0	0	223	83	4	0	1	6	266	45	302	9	0	28	54	13	35	1	0	1	0	23	0	28	101	39	43	13	22	7	1	0	6	fake
gossipcop-109358738	30	25	105	1	0	143	57	0	1	0	2	172	39	104	1	0	5	36	31	33	0	0	6	0	19	0	16	76	21	33	4	15	5	3	0	5	fake
gossipcop-109561633	110	47	270	9	9	363	178	10	4	4	21	375	109	373	10	2	34	329	67	238	3	2	21	9	98	5	121	218	64	65	109	84	18	11	0	26	fake
gossipcop-1099516198	65	32	180	1	0	221	137	4	7	0	17	292	56	201	3	2	13	104	34	103	2	5	11	0	36	0	49	68	46	36	34	67	16	7	1	13	fake
gossipcop-1103113292	14	3	29	0	0	27	19	0	0	0	2	54	6	37	0	0	3	11	6	6	0	0	1	0	14	0	19	5	5	5	3	16	2	1	0	0	fake
gossipcop-1103229113	9	8	35	1	2	58	26	0	4	0	3	66	12	69	2	0	5	43	16	28	3	0	5	0	18	0	26	51	9	13	5	9	1	5	0	4	fake
gossipcop-1105091447	3	3	11	0	0	15	7	0	0	0	2	18	3	30	0	0	3	4	5	6	0	0	2	0	3	0	7	3	3	2	1	9	0	1	0	1	fake
gossipcop-1107520962	1	1	19	3	0	14	7	0	0	0	0	24	3	18	0	0	0	7	0	9	0	0	0	0	5	2	4	17	2	8	3	3	0	2	0	1	fake
gossipcop-1108936720	29	11	94	0	0	100	36	5	1	0	10	153	27	102	1	2	20	49	34	62	0	0	12	1	40	1	56	88	30	23	9	12	4	7	0	12	fake
gossipcop-1115907121	11	7	17	0	1	35	13	0	0	0	2	34	7	37	1	0	2	16	13	18	0	0	2	0	8	0	8	21	5	5	4	4	2	1	0	0	fake
gossipcop-1120081991	11	42	50	0	1	74	43	2	0	0	5	116	29	147	1	1	8	20	16	17	1	0	1	1	18	0	17	21	17	14	9	23	1	7	0	2	fake
gossipcop-1120099314	27	17	47	2	0	81	41	0	0	0	6	80	15	48	2	0	4	59	13	47	0	0	2	0	26	1	19	22	13	21	27	25	1	2	0	6	fake
gossipcop-1126220623	138	378	391	0	0	594	236	5	32	0	6	628	137	839	14	0	39	115	54	84	0	3	6	0	76	2	60	217	72	114	10	70	30	13	1	9	fake
gossipcop-1126928115	8	7	20	0	0	33	30	1	1	0	0	34	21	35	1	0	0	6	7	9	0	1	1	0	5	0	2	16	4	5	1	5	3	2	0	0	fake
gossipcop-1127889925	52	28	113	3	0	148	72	3	1	0	6	176	48	161	4	1	11	33	19	94	0	0	9	12	37	1	35	69	19	45	9	45	11	8	0	5	fake
gossipcop-1132358492	25	22	64	7	0	75	46	1	2	0	13	82	24	89	1	0	1	31	11	49	2	2	2	0	17	3	31	17	15	12	15	32	3	3	0	7	fake
gossipcop-1134125875	15	2	34	1	0	48	21	0	1	0	4	57	18	32	0	1	2	19	10	21	0	0	7	0	17	0	16	4	20	14	8	34	3	0	0	2	fake
gossipcop-1134909578	17	7	29	0	0	32	32	0	0	0	3	55	11	50	0	2	8	27	8	30	0	0	3	0	15	0	15	21	9	1	0	22	2	0	0	2	fake
gossipcop-1138885480	4	2	18	0	0	20	13	0	0	0	0	30	3	28	0	0	0	17	3	6	0	0	1	0	5	1	2	13	1	7	5	4	0	0	0	1	fake
gossipcop-1143311659	18	13	21	0	0	28	15	1	2	0	3	46	16	85	1	0	6	6	10	15	0	0	3	0	7	0	5	15	6	6	2	9	0	2	0	1	fake
gossipcop-1146379778	66	75	154	1	1	248	118	0	0	0	4	294	50	331	8	1	25	106	65	93	2	0	16	0	40	1	33	126	43	48	22	41	8	10	0	22	fake
gossipcop-1151972925	3	5	18	0	0	25	13	0	0	0	1	27	4	12	0	0	6	4	2	9	0	0	0	0	3	0	2	14	3	0	0	6	3	0	0	0	fake
gossipcop-1154955596	21	15	74	5	0	86	66	8	1	0	11	119	33	79	0	2	7	39	17	56	2	0	3	0	22	1	34	21	24	19	10	52	6	2	0	6	fake
gossipcop-1156920900	173	306	532	5	0	645	261	8	6	1	23	744	204	883	9	0	53	46	59	85	4	0	11	0	75	0	75	223	53	140	14	28	15	8	0	5	fake
gossipcop-1156925967	4	0	10	1	1	15	6	1	1	0	1	20	2	6	0	0	0	7	9	11	0	0	2	0	4	0	3	2	6	3	1	9	2	0	0	1	fake
gossipcop-1170441384	8	3	25	0	0	31	24	0	1	0	4	52	11	34	0	1	5	26	16	18	0	0	3	0	7	0	7	16	4	5	9	17	3	1	0	4	fake
gossipcop-117212997	55	24	152	2	0	159	64	5	4	0	13	223	76	133	1	0	9	38	16	52	1	0	6	0	38	0	51	43	34	52	33	47	5	7	0	9	fake
gossipcop-1174330891	11	5	24	0	2	55	26	2	0	0	6	58	13	61	1	0	11	27	20	11	1	0	3	0	10	0	11	30	14	14	2	8	0	0	0	2	fake
gossipcop-1181298966	16	9	23	0	0	51	22	0	0	0	0	45	17	44	2	0	7	29	12	24	0	0	3	0	11	1	14	19	13	5	5	14	1	2	0	3	fake
gossipcop-1185219723	15	0	16	3	0	37	21	1	1	0	5	31	9	15	0	0	0	39	8	41	1	1	5	0	9	0	17	26	4	7	15	3	2	2	0	1	fake
gossipcop-1186645827	7	0	19	0	0	15	9	0	0	0	2	24	12	9	0	0	2	3	1	5	0	0	0	0	2	1	6	0	4	2	2	6	0	0	0	0	fake
gossipcop-1188213997	9	1	11	1	1	21	14	0	0	0	0	17	6	28	3	0	0	18	5	15	0	0	2	0	13	1	11	8	9	0	6	10	1	1	0	0	fake
gossipcop-1188816168	4	1	12	1	0	15	17	0	0	0	3	19	6	17	0	0	2	19	8	11	1	0	0	0	2	0	8	7	5	4	3	13	0	1	0	1	fake
gossipcop-1188990128	5	1	15	0	0	31	26	4	2	0	3	37	22	18	0	0	2	30	22	23	0	2	4	0	7	1	10	14	5	3	20	11	3	1	0	1	fake
gossipcop-1196788294	23	17	39	0	0	58	26	0	2	0	8	51	18	51	0	0	2	35	8	37	1	0	3	0	10	1	16	20	10	14	18	14	1	2	0	2	fake
gossipcop-1198146648	24	6	56	2	0	70	41	4	1	0	6	81	34	53	2	0	3	52	14	51	1	0	5	2	18	0	26	25	21	13	20	23	3	0	0	5	fake
gossipcop-12007541	19	4	29	2	1	45	22	2	0	0	4	49	11	39	2	0	6	30	5	37	1	0	4	0	10	0	11	18	8	11	12	14	1	1	0	5	fake
gossipcop-1202990527	17	4	41	1	0	45	28	1	0	0	4	57	11	41	1	1	2	11	3	11	1	0	1	0	9	0	9	4	8	7	2	16	7	2	0	2	fake
gossipcop-120348930	18	7	41	1	0	54	24	0	2	0	7	48	17	48	0	0	0	20	6	31	1	1	5	0	14	1	16	1	17	16	8	36	0	2	0	2	fake
gossipcop-1204805620	17	20	84	0	0	122	34	3	4	1	4	120	33	149	4	1	12	54	21	33	0	0	16	0	20	0	17	56	30	23	11	22	3	4	0	4	fake
gossipcop-121084045	9	4	17	0	0	25	10	0	0	0	0	43	17	31	1	0	2	5	6	9	0	0	2	0	5	0	4	10	9	7	3	6	2	2	0	3	fake
gossipcop-1211038093	9	4	22	0	0	34	28	1	1	0	0	38	15	24	0	0	3	11	16	15	0	0	0	0	6	0	8	8	2	8	9	3	0	0	0	1	fake
gossipcop-1211097930	16	12	40	0	3	50	22	1	1	0	2	64	7	52	2	0	7	32	14	25	1	0	1	0	16	0	11	22	11	12	5	25	1	2	0	8	fake
gossipcop-1212267256	20	4	34	0	0	61	38	0	3	0	5	75	31	47	2	0	7	35	26	51	0	0	7	0	17	0	23	27	23	30	19	17	1	3	0	3	fake
gossipcop-1216245722	12	5	23	0	0	33	15	2	1	0	4	37	15	27	1	3	0	25	9	26	2	0	5	1	10	0	18	7	15	3	9	19	1	3	0	2	fake
gossipcop-1216355292	24	2	31	2	0	44	34	0	0	0	6	58	13	64	1	0	3	64	15	37	0	0	3	0	13	1	22	56	11	11	8	10	2	5	0	6	fake
gossipcop-1220474761	17	4	51	1	0	46	37	2	1	0	12	83	23	20	0	0	4	11	8	24	0	0	0	1	12	0	17	17	10	13	7	11	4	3	0	0	fake
gossipcop-1220539977	4	0	2	0	0	3	4	0	0	0	1	6	2	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	3	0	1	0	0	0	0	fake
gossipcop-1225099614	0	0	4	0	0	5	4	0	0	0	1	5	0	10	2	0	0	3	0	5	0	0	0	0	4	0	5	0	1	0	2	4	1	0	0	0	fake
gossipcop-1229259214	179	74	120	0	5	129	135	3	77	0	7	405	157	2723	47	2	19	54	11	26	1	0	7	0	9	3	37	2	37	14	40	17	1	1	0	4	fake
